wav_filename,wav_filesize,transcript
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0003.wav,173038,"the long (pepper( is less aromatic than the black, but its (oil( is more pungent."
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0004.wav,261518,"then add the yolks of the (eggs(, well beaten, stir them to the (sauce(, but do not allow it to boil and serve very hot."
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0005.wav,603598,"mode parents leisa (cucumbers(. as for the (table(, sprinkle well with ((salt(( and let them remain for <24 hours<. |strain| off the (liquor pack( in (jars(, a thick layer of (cucumbers( and ((salt((. alternately, tie down closely and when wanted for use, take out the quantity required."
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0006.wav,89678,^illustration^ the (cucumber(.
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0007.wav,852078,mode choose the greenest (cucumbers( and those that are most free from seeds. put them in strong salt and water with a cabbage leaf to keep them down. tie a paper over them and put them in a warm place till they are yellow. then wash them and set them over the fire in fresh water with a very little salt and another cabbage leaf over them.
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0008.wav,649198,put the (sugar( with :1/4 pint: of water in a (saucepan( over the fire. remove the scum as it rises and add the lemon peel and ginger with the outside scraped off.
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0009.wav,186958,"seasonable, this recipe should be used in <june<, <july< or <august<."
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0010.wav,368238,"solid rocks of ((salt(( are also found in various parts of the world and in the country of &chester& contains many of these minds, and it is from there that much of our ((salt(( comes."
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0011.wav,448078,some &springs& are so highly impregnated with salt as to have received the name of brian &springs& and are supposed to have become so by passing through the salt rocks below ground and thus dissolving a portion of this mineral substance.
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0012.wav,173038,mode put the (milk( in a very clean (sauce pan( and let it boil.
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0013.wav,192398,"beat the (eggs(. stir to them the (milk(, impounded (sugar( and put the mixture into a (jug(."
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0014.wav,260238,"place the jug in a (saucepan( of boiling water. keep stirring well until it thickens, but do not allow it to boil or it will curdle."
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0015.wav,137358,"when it is sufficiently thick, take it ouf as it should not boil."
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0016.wav,89038,^illustration^ the (lemon(.
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0017.wav,227438,the lemon this fruit is a native of &asia& and is mentioned by |virgil| as an antidote to poison.
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0018.wav,225998,"it is harder than the orange, and as :one: of the citroen tribe was brought into &europe& by the |arabians|."
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0019.wav,268238,"the (lemon( was :first: cultivated in &england& in the beginning of the <17th century<, and is <now< often to be found in our &green houses&."
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0020.wav,298958,"this (juice(, which is called citric acid, may be preserved in (bottles( for considerable time by covering it with a thin stratum of (oil(."
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0021.wav,54158,to (pickle eggs(.
/home/ubuntu/KerasDeepSpeech/dataset/1919-142785-0022.wav,216718,"seasonable, this should be made about <easter<, as at this time eggs are plentiful and cheap."
